id,date,type,arabic,english,reference,scholar
quran-001,*,QURAN,"يَا أَيُّهَا الَّذِينَ آمَنُوا اسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ إِنَّ اللَّهَ مَعَ الصَّابِرِينَ","Believers, seek help through patience and prayer. Surely Allah is with those who remain patient.",Surah Al-Baqarah 2:153,
hadith-001,*,HADITH,"إِنَّمَا الْأَعْمَالُ بِالنِّيَّاتِ",Actions are judged by intentions.,Riyad as-Salihin Hadith 1,
wisdom-001,*,SCHOLAR,"كُلُّ أَحَدٍ يُؤْخَذُ مِنْ قَوْلِهِ وَيُرَدُّ إِلَّا صَاحِبَ هَذَا الْقَبْرِ","Everyone’s statement may be accepted or rejected except the occupant of this grave.",Jami Bayan al-Ilm,Imam Malik

